0 |[(21, 1), (22, 1), (23, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (35, 1), (36, 1)]|
00 |[(33, 1)]|
00211 |[(26, 1)]|
00243 |[(25, 1)]|
00246 |[(28, 1)]|
00400 |[(36, 1)]|
01 |[(32, 1), (33, 1)]|
013 |[(20, 1), (21, 1)]|
02 |[(33, 1)]|
0200 |[(30, 1)]|
03 |[(20, 1), (23, 1), (35, 1)]|
039 |[(34, 1)]|
04 |[(33, 1)]|
040 |[(32, 1)]|
05 |[(33, 1)]|
0589 |[(24, 1)]|
06 |[(21, 1), (34, 1)]|
07 |[(24, 1), (32, 1), (33, 1)]|
07na27344 |[(21, 1)]|
09 |[(23, 1), (29, 1), (34, 1)]|
1 |[(19, 1), (20, 1), (21, 1), (22, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1)]|
10 |[(19, 1), (20, 1), (21, 1), (22, 1), (25, 1), (26, 1), (28, 1), (29, 1), (30, 1), (31, 1), (32, 1), (33, 1), (34, 1), (36, 1)]|
100 |[(20, 1), (33, 1)]|
1007 |[(30, 1)]|
10203040506070809099 |[(33, 1)]|
103 |[(19, 1)]|
105 |[(29, 1), (34, 1)]|
10531 |[(33, 1)]|
107 |[(30, 1)]|
107888 |[(30, 1)]|
108 |[(19, 1)]|
11 |[(30, 1), (33, 1), (34, 1), (35, 1)]|
111 |[(34, 1)]|
111740 |[(34, 1)]|
114 |[(29, 1)]|
1151 |[(35, 1)]|
116 |[(19, 1)]|
117 |[(33, 1)]|
11th |[(23, 1)]|
12 |[(27, 1), (33, 1), (34, 1), (35, 1)]|
121 |[(34, 1)]|
12234 |[(29, 1)]|
123 |[(19, 1)]|
126 |[(33, 1)]|
12wx |[(24, 1)]|
13 |[(19, 1), (30, 1), (33, 1), (34, 1)]|
13077 |[(29, 1)]|
132 |[(33, 1)]|
133 |[(19, 1)]|
137 |[(33, 1)]|
13th |[(19, 1)]|
14 |[(22, 1), (25, 1), (26, 1), (28, 1), (31, 1), (33, 1), (36, 1)]|
14311 |[(20, 1)]|
1468 |[(29, 1)]|
15 |[(24, 1), (30, 1), (33, 1), (34, 1), (35, 1)]|
150 |[(33, 1)]|
16 |[(19, 1), (22, 1), (25, 1), (26, 1), (28, 1), (29, 1), (31, 1), (32, 1), (33, 1), (34, 1), (35, 1), (36, 1)]|
17 |[(24, 1), (30, 1), (33, 1), (34, 1), (35, 1)]|
171 |[(24, 1)]|
17455 |[(24, 1)]|
175 |[(24, 1)]|
178 |[(34, 1)]|
18 |[(21, 1), (30, 1), (33, 1), (34, 1), (35, 1)]|
180 |[(21, 1)]|
18022 |[(20, 1)]|
19 |[(33, 1), (34, 1), (35, 1)]|
1907 |[(20, 1)]|
1931 |[(20, 1)]|
198 |[(34, 1)]|
1995 |[(33, 1)]|
1996 |[(23, 1), (33, 1)]|
1997 |[(33, 1)]|
1998 |[(24, 1), (32, 1), (33, 1)]|
1999 |[(23, 1), (32, 1), (33, 1)]|
